Clock frequency is approx. 2250.0 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	15618	9817	7286	5255	3570	2870	2392	1992	1934	1763	1735	1668	1642	1613	1605	1597	1566	1529	1574	1572	1572	1570	1540	1514	1520	1536	1574	1580	1556	1581	1585	1544	
256m	15603	9798	7274	4909	3710	2869	2343	2059	1923	1818	1740	1669	1564	1532	1602	1609	1586	1584	1582	1574	1572	1572	1575	1549	1574	1583	1574	1580	1584	1578	1588	1587	
128m	15631	9805	7282	5239	3693	2871	2393	2079	1934	1821	1738	1637	1645	1620	1606	1612	1594	1583	1581	1503	1490	1507	1586	1556	1578	1550	1512	1520	1550	1541	1591	1552	
64m	15592	9818	7286	5295	3692	2871	2398	2083	1931	1817	1746	1662	1643	1613	1606	1594	1594	1575	1573	1583	1578	1617	1756	2035	2148	2406	2635	3105	3597	4790	5849	1591	
32m	15588	9735	7328	5338	3724	2891	2406	2098	1946	1819	1766	1702	1714	1733	1815	1617	2177	2927	3599	4389	5186	8813	11871	12888	12897	12850	12821	12779	12853	12865	12470	1597	
16m	26758	18210	14597	11586	9355	7423	6658	5959	6012	10556	6740	7124	7409	8012	8528	5398	12151	12844	12898	12532	10642	11471	12858	12857	12839	12844	12830	12855	12811	12895	12479	4850	
8m	45620	34695	25487	19135	15793	13284	11533	10081	10282	10378	10238	9999	9674	9700	9741	9647	9871	10198	10239	10298	10741	11454	12264	12780	12841	12813	12718	12825	12782	12868	12482	9144	
4m	45403	33136	25429	19075	15834	13325	11561	10084	10310	10403	10250	10047	9709	9696	9723	9723	9861	10279	10220	10418	10738	11389	12272	12803	12749	12813	12743	12836	12845	12885	12598	9115	
2m	45178	30840	24815	19261	15893	13346	11657	10129	10384	10560	10412	10220	10064	10040	10183	9998	10297	10728	10737	10832	11071	11682	12322	12701	12710	12702	12733	12760	12732	12756	12716	9204	
1024k	45354	31814	25457	19680	16194	13686	11917	10329	10563	10570	10452	10208	9945	9947	10131	10192	10111	10534	10613	10613	11348	12128	12841	12775	12985	13052	12818	12825	12913	13092	12961	9390	
512k	45471	34860	26320	19652	16618	13893	12041	10403	10708	10809	10882	10977	11079	11558	11536	11070	12587	13120	13395	13239	13423	13540	13490	13566	13443	13535	13485	13568	13491	13545	13527	9583	
256k	45829	42010	34270	26322	21224	17690	15223	13320	13361	13374	13540	13404	13624	13568	13550	13323	13526	13613	13526	13515	13568	13391	13568	13488	13442	13624	13485	13572	13496	13438	13639	12800	
128k	46152	43116	35527	26859	21660	18057	15477	13543	13613	13515	13540	13652	13624	13572	13653	13434	13768	13483	13531	13652	13567	13539	13567	13652	15418	13266	23139	13768	16139	31207	38514	13222	
64k	45822	42568	35234	26869	21845	17911	15353	13434	13483	13652	13539	13652	13266	13768	33665	13653	38550	40545	38417	40950	44713	42678	35612	38877	43683	31500	34782	39000	32374	36400	35233	12800	
32k	49648	45511	43649	43065	43751	45508	39008	37312	40545	40950	37225	39124	36115	29250	43487	34133	32117	30333	34634	40950	31339	29913	35600	27422	32750	31500	20217	29250	28225	36132	35496	25600	
16k	51200	48251	45508	40960	36490	39124	33535	34133	30333	40950	37225	34125	25088	23504	36672	25600	31864	22750	21550	20475	39000	37200	35600	34100	32750	15750	15150	19357	14100	27300	26400	17194	
